ts,monotonic_s,gpu_util_pct,vram_used_mib,power_w,temp_c,sm_clock_mhz,cpu_util_pct,load1,cpu0_pct,cpu1_pct,cpu2_pct,cpu3_pct,cpu4_pct,cpu5_pct,cpu6_pct,cpu7_pct,cpu8_pct,cpu9_pct,cpu10_pct,cpu11_pct,cpu12_pct,cpu13_pct,cpu14_pct,cpu15_pct,cpu16_pct,cpu17_pct,cpu18_pct,cpu19_pct,cpu20_pct,cpu21_pct,cpu22_pct,cpu23_pct,ram_used_gib,ram_available_gib,swap_used_gib,io_read_mb_s,io_write_mb_s,net_rx_kb_s,net_tx_kb_s
2026-06-12T21:08:31+05:30,0.004,,,,,,55.600,15.085,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000,0.000,0.000,0.000,50.000,100.000,100.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,26.323,30.511,9.041,6.684,0.000,27907.685,27844.667
2026-06-12T21:08:32+05:30,1.003,0.000,22285.000,104.230,56.000,1890.000,46.600,15.085,68.400,51.000,48.400,63.000,53.100,34.000,50.000,52.600,34.300,66.300,32.000,76.000,54.700,42.300,55.700,34.300,31.600,20.800,34.000,77.000,28.600,34.000,43.900,30.600,26.447,30.386,9.041,6.284,0.059,10207.592,9868.242
2026-06-12T21:08:33+05:30,2.002,0.000,22285.000,114.640,59.000,2055.000,48.100,15.078,52.100,63.300,37.900,30.900,51.500,48.000,40.200,22.900,39.800,69.100,72.400,50.000,53.700,42.300,69.700,34.700,67.300,29.500,26.000,99.000,26.300,30.200,54.200,39.600,26.448,30.385,9.041,0.090,0.074,9718.014,9435.291
2026-06-12T21:08:34+05:30,3.002,0.000,22285.000,223.460,60.000,2055.000,51.100,15.078,58.300,56.600,63.300,43.400,51.000,29.500,42.900,34.400,42.900,79.000,34.700,37.800,51.500,58.800,49.500,28.900,76.500,43.300,32.300,100.000,37.100,45.500,63.600,60.800,26.462,30.371,9.040,0.176,13.672,10336.861,9931.026
2026-06-12T21:08:35+05:30,4.003,100.000,22285.000,300.770,61.000,2055.000,51.800,15.078,46.300,51.000,54.700,41.800,70.400,37.100,38.100,56.200,34.000,47.400,39.400,77.600,70.700,56.700,64.600,41.700,40.800,27.600,46.900,74.700,35.700,77.600,76.800,33.700,26.412,30.421,9.040,0.098,0.547,9654.588,9363.721
2026-06-12T21:08:36+05:30,5.002,100.000,22285.000,301.130,61.000,2055.000,52.600,15.078,58.300,53.700,41.200,42.700,39.600,64.600,71.000,54.100,52.000,43.300,48.500,42.400,47.400,97.000,47.400,50.500,41.700,55.800,47.000,37.100,39.800,80.800,62.200,44.000,26.425,30.407,9.038,2.684,0.422,9716.553,9337.032
2026-06-12T21:08:37+05:30,6.003,100.000,22285.000,301.150,62.000,2055.000,52.500,15.078,56.600,56.100,66.300,62.600,45.900,66.700,55.800,46.900,56.300,40.600,48.000,35.400,33.000,68.000,45.900,50.500,29.500,46.300,52.100,60.800,62.900,52.600,64.600,55.100,26.485,30.347,9.037,0.051,0.008,8933.212,8647.971
2026-06-12T21:08:38+05:30,7.003,100.000,22285.000,302.630,62.000,2055.000,59.500,15.232,50.000,75.800,58.200,54.700,51.500,86.900,62.900,57.700,56.100,69.000,62.600,48.000,68.400,54.600,85.000,62.600,46.900,47.500,65.300,54.700,60.000,45.400,58.600,41.700,26.413,30.419,9.037,0.422,0.809,10342.328,9943.487
2026-06-12T21:08:39+05:30,8.002,100.000,22285.000,302.760,62.000,2055.000,51.100,15.232,85.600,13.500,35.700,55.700,39.200,100.000,46.900,42.900,57.700,44.800,46.400,30.900,82.700,100.000,95.000,38.100,51.500,24.200,35.400,42.700,35.400,35.100,39.800,39.200,26.387,30.444,9.037,0.348,0.270,9605.951,9324.583
2026-06-12T21:08:40+05:30,9.002,100.000,22285.000,293.860,62.000,2055.000,55.700,15.232,53.700,58.300,78.800,41.800,47.400,100.000,46.400,36.100,47.400,51.000,40.200,56.100,83.800,85.000,72.900,47.400,39.200,51.000,42.700,44.800,60.200,39.200,54.200,52.100,26.336,30.495,9.037,0.145,0.008,10899.413,10551.677
2026-06-12T21:08:41+05:30,10.005,100.000,22285.000,293.780,62.000,2055.000,49.000,15.232,44.800,100.000,96.000,82.700,49.500,57.100,25.800,38.400,26.500,56.100,50.000,29.900,78.000,20.800,28.600,50.500,42.700,31.300,29.900,31.200,23.500,42.100,38.100,99.000,26.370,30.460,9.037,0.172,0.008,9757.837,9467.888
2026-06-12T21:08:42+05:30,11.004,95.000,22285.000,303.310,63.000,2055.000,52.100,15.232,62.200,52.100,68.000,43.900,56.600,70.400,56.000,52.600,66.000,47.400,63.900,37.200,65.300,26.500,35.700,42.300,48.500,28.900,41.000,43.900,42.100,52.500,60.800,88.100,26.275,30.554,9.037,0.160,0.008,10403.640,9962.113
2026-06-12T21:08:43+05:30,12.004,100.000,22285.000,303.800,63.000,2055.000,55.300,15.374,55.300,47.400,56.700,83.700,36.700,90.000,50.000,77.600,39.200,46.900,86.900,47.500,62.500,79.600,78.600,39.800,48.500,38.100,48.500,41.700,50.000,33.300,40.800,46.400,26.338,30.491,9.036,0.109,0.008,9070.268,8795.044
2026-06-12T21:08:44+05:30,13.004,100.000,22285.000,299.580,63.000,2055.000,57.500,15.374,51.500,46.400,46.400,68.400,76.300,100.000,38.500,86.700,42.400,46.400,67.000,51.000,56.100,100.000,36.800,70.700,41.200,49.500,37.800,51.500,58.600,72.400,39.200,41.100,26.319,30.510,9.036,0.105,0.195,10674.548,10296.258
2026-06-12T21:08:45+05:30,14.004,100.000,22285.000,303.160,63.000,2055.000,50.900,15.374,45.800,35.400,35.400,47.400,99.000,60.200,36.100,44.400,36.500,36.700,33.300,35.700,39.200,83.000,46.900,86.900,30.200,90.000,35.700,44.300,41.700,100.000,32.000,43.400,26.307,30.522,9.036,0.336,3.367,9957.415,9662.354
2026-06-12T21:08:46+05:30,15.003,96.000,22285.000,303.090,64.000,2055.000,56.200,15.374,43.400,39.200,36.700,21.900,98.000,58.200,60.000,68.700,53.200,40.400,33.000,34.300,32.600,41.400,100.000,100.000,95.000,50.000,59.400,50.000,65.600,100.000,27.300,33.300,26.300,30.529,9.036,0.078,0.008,10522.782,10121.997
2026-06-12T21:08:47+05:30,16.003,100.000,22285.000,303.560,64.000,2055.000,51.300,15.374,57.100,59.200,44.900,23.700,25.800,100.000,68.400,50.500,55.100,34.700,25.000,25.800,49.500,46.500,55.100,100.000,33.700,33.700,61.600,54.600,62.900,100.000,23.200,35.400,26.312,30.516,9.036,0.082,0.008,9045.563,8746.369
2026-06-12T21:08:48+05:30,17.005,100.000,22285.000,304.950,64.000,2055.000,54.700,14.623,50.000,39.400,53.100,48.000,63.300,59.600,43.300,50.500,39.600,68.700,61.500,59.400,40.400,42.900,68.700,89.000,43.200,44.300,40.200,57.100,41.400,100.000,57.000,50.000,26.326,30.502,9.036,0.117,0.008,10277.375,9918.705
2026-06-12T21:08:49+05:30,18.004,100.000,22285.000,305.090,64.000,2055.000,53.800,14.623,50.500,48.900,78.100,22.800,52.500,76.000,35.800,61.200,36.400,57.300,43.700,97.000,42.900,44.200,74.500,95.000,35.400,43.200,42.300,46.500,42.300,45.800,80.000,28.400,26.319,30.508,9.033,3.157,2.989,8304.915,8049.291
2026-06-12T21:08:50+05:30,19.005,75.000,22285.000,302.680,64.000,2055.000,55.300,14.623,49.500,45.900,49.000,35.100,66.000,65.700,58.600,41.400,47.400,50.500,65.300,93.900,39.800,84.000,60.800,97.000,38.500,38.100,46.400,49.500,50.000,48.000,66.300,37.500,26.318,30.509,9.033,0.129,1.859,10295.189,9863.944
2026-06-12T21:08:51+05:30,20.003,100.000,22285.000,305.840,65.000,2055.000,49.900,14.623,27.100,70.700,22.400,37.100,92.000,21.600,53.100,67.000,59.600,62.600,59.200,32.000,29.900,21.900,58.000,100.000,29.600,19.800,53.500,49.000,52.000,34.700,60.600,77.100,26.333,30.493,9.016,16.805,0.488,9328.226,9052.859
2026-06-12T21:08:52+05:30,21.002,91.000,22285.000,302.170,65.000,2055.000,52.000,14.623,42.400,62.900,56.100,34.000,96.000,30.900,57.000,42.900,53.500,62.200,79.800,49.000,33.300,34.000,35.100,98.000,38.100,42.000,56.700,58.200,32.300,65.300,30.200,56.100,26.324,30.502,9.016,0.160,0.008,9992.224,9637.610
2026-06-12T21:08:53+05:30,22.003,100.000,22285.000,303.440,65.000,2055.000,53.900,14.252,44.300,63.600,42.700,51.600,52.600,49.000,35.400,75.800,49.000,47.500,95.000,68.400,50.000,46.400,57.100,98.000,44.200,52.100,48.500,58.600,36.700,34.400,41.400,48.500,26.382,30.444,9.016,0.246,0.801,9176.328,8971.198
2026-06-12T21:08:54+05:30,23.002,100.000,22285.000,307.190,65.000,2055.000,55.200,14.252,43.200,37.100,46.500,49.500,47.400,47.400,47.500,60.600,66.000,52.100,43.900,60.600,60.200,47.400,55.600,100.000,58.200,54.200,47.400,85.700,57.100,32.700,74.500,49.000,26.344,30.482,9.016,0.082,0.008,9944.944,9548.201
2026-06-12T21:08:55+05:30,24.003,100.000,22285.000,305.480,65.000,2055.000,53.700,14.252,44.800,59.800,47.500,66.000,72.700,43.300,54.100,51.000,50.000,65.700,69.300,66.000,56.700,56.700,48.500,51.500,42.300,32.000,42.700,100.000,45.900,40.000,51.500,27.400,26.245,30.581,9.016,0.297,0.117,9895.690,9612.376
2026-06-12T21:08:56+05:30,25.003,100.000,22285.000,305.830,65.000,2040.000,51.700,14.252,42.600,41.100,52.600,88.000,70.700,80.600,33.700,34.000,45.400,52.000,55.100,81.600,39.800,42.300,42.300,39.200,45.800,50.500,38.600,100.000,35.000,48.500,41.700,36.800,26.293,30.532,9.015,0.238,0.332,10145.646,9827.339
2026-06-12T21:08:57+05:30,26.003,100.000,22285.000,307.400,65.000,2040.000,51.500,14.252,39.800,45.400,80.200,67.300,85.900,46.500,44.100,77.300,52.000,37.500,36.800,34.300,37.100,36.500,55.200,30.300,32.700,44.400,33.300,96.000,43.300,29.600,100.000,44.900,26.246,30.578,9.015,0.176,0.223,9594.076,9393.647
2026-06-12T21:08:58+05:30,27.003,98.000,22285.000,301.970,65.000,2040.000,50.400,14.393,28.700,40.400,34.400,69.700,50.000,62.200,49.500,65.300,45.400,42.900,43.300,40.600,68.400,27.600,41.200,38.100,30.900,60.200,36.800,100.000,46.900,39.200,100.000,44.300,26.296,30.528,9.015,0.055,0.012,9934.282,9583.416
2026-06-12T21:08:59+05:30,28.003,100.000,22285.000,307.210,66.000,2040.000,54.000,14.393,44.900,51.600,73.500,68.400,75.500,60.600,50.000,51.000,49.500,45.900,30.900,73.000,40.800,29.900,33.000,74.700,62.500,66.300,42.700,100.000,40.800,27.600,55.100,47.900,26.315,30.509,9.015,0.074,0.004,9430.601,9227.076
2026-06-12T21:09:00+05:30,29.003,100.000,22285.000,307.840,66.000,2040.000,52.400,14.393,52.000,52.500,40.800,70.100,47.400,55.000,44.300,59.200,52.600,31.200,28.900,43.300,36.500,38.100,40.000,46.900,89.900,80.800,44.300,100.000,41.100,32.000,27.100,94.100,26.322,30.502,9.015,0.094,0.008,10227.477,9938.631
2026-06-12T21:09:01+05:30,30.003,100.000,22285.000,305.560,66.000,2040.000,52.700,14.393,54.100,34.000,52.000,57.300,66.300,23.700,42.300,44.800,53.100,33.000,33.300,34.700,51.500,40.800,58.000,69.000,40.200,99.000,47.900,100.000,53.600,28.900,43.300,100.000,26.328,30.495,9.015,0.070,1.031,9766.337,9554.329
