ts,monotonic_s,gpu_util_pct,vram_used_mib,power_w,temp_c,sm_clock_mhz,cpu_util_pct,load1,cpu0_pct,cpu1_pct,cpu2_pct,cpu3_pct,cpu4_pct,cpu5_pct,cpu6_pct,cpu7_pct,cpu8_pct,cpu9_pct,cpu10_pct,cpu11_pct,cpu12_pct,cpu13_pct,cpu14_pct,cpu15_pct,cpu16_pct,cpu17_pct,cpu18_pct,cpu19_pct,cpu20_pct,cpu21_pct,cpu22_pct,cpu23_pct,ram_used_gib,ram_available_gib,swap_used_gib,io_read_mb_s,io_write_mb_s,net_rx_kb_s,net_tx_kb_s
2026-06-12T13:49:40+05:30,0.002,,,,,,50.000,13.963,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000,0.000,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,14.650,42.722,6.342,0.000,0.000,11617.131,5900.913
2026-06-12T13:49:41+05:30,1.003,0.000,42.000,14.690,40.000,210.000,52.100,13.963,63.900,58.800,66.700,38.500,53.600,74.500,39.800,56.100,48.000,49.000,48.000,53.600,56.700,67.300,59.200,43.300,47.900,66.700,37.400,44.900,26.300,48.500,63.600,35.400,14.626,42.746,6.342,1.188,0.004,4693.196,3035.914
2026-06-12T13:49:42+05:30,2.003,0.000,42.000,14.770,40.000,210.000,54.100,13.565,68.000,56.800,60.800,63.000,63.900,45.500,51.000,69.700,52.100,46.900,42.300,43.300,50.500,58.200,57.700,39.800,55.600,54.000,53.100,60.200,53.100,38.400,57.100,57.000,14.531,42.839,6.342,2.641,0.434,10315.069,6056.919
2026-06-12T13:49:43+05:30,3.003,0.000,42.000,14.810,40.000,210.000,53.300,13.565,63.900,77.300,66.000,62.900,53.600,57.100,31.300,48.500,39.800,45.400,48.000,53.600,75.000,59.200,42.100,58.600,49.000,57.700,43.400,42.300,55.200,65.700,29.600,56.100,14.460,42.910,6.342,1.348,0.039,5210.918,3399.980
2026-06-12T13:49:44+05:30,4.003,0.000,42.000,14.650,40.000,210.000,44.100,13.565,34.400,48.000,41.400,46.900,28.300,39.400,39.600,51.000,43.900,52.500,26.900,68.000,31.300,79.800,52.500,39.400,35.700,40.800,38.100,53.100,36.700,45.400,39.600,42.400,14.494,42.881,6.342,1.316,0.207,3171.754,3868.187
2026-06-12T13:49:45+05:30,5.003,0.000,42.000,14.470,40.000,210.000,32.300,13.565,25.800,25.500,29.200,30.300,25.500,24.500,25.700,35.400,22.400,39.800,75.200,33.000,46.500,80.600,53.500,21.400,17.300,18.200,14.600,35.100,28.300,22.200,21.200,17.500,14.528,42.847,6.342,0.742,0.195,2601.435,2134.826
2026-06-12T13:49:46+05:30,6.003,0.000,42.000,14.480,40.000,210.000,32.400,13.565,41.900,38.500,46.900,24.700,20.200,27.600,17.700,17.500,21.400,21.600,18.600,23.000,54.100,82.000,54.600,21.600,37.000,14.000,21.000,29.300,20.200,26.000,78.800,17.200,14.619,42.754,6.342,0.250,0.012,3120.353,2354.235
2026-06-12T13:49:47+05:30,7.003,0.000,42.000,14.630,40.000,210.000,29.300,12.959,21.400,19.400,19.200,32.000,51.500,50.500,29.300,15.200,23.200,17.200,17.000,11.200,31.600,34.300,17.300,57.600,38.800,30.900,21.400,33.300,14.400,34.300,7.100,79.000,14.672,42.701,6.342,0.125,0.004,2065.430,1806.283
2026-06-12T13:49:48+05:30,8.003,0.000,42.000,14.650,40.000,210.000,31.800,12.959,20.200,18.600,11.200,18.200,22.400,31.300,42.400,24.200,33.300,55.100,46.400,39.200,25.300,14.700,22.200,23.200,26.000,19.000,16.200,56.000,19.400,46.000,45.500,81.800,14.577,42.796,6.341,1.387,0.012,2252.161,1863.645
2026-06-12T13:49:49+05:30,9.002,0.000,42.000,14.670,40.000,210.000,28.000,12.959,14.700,25.300,20.400,9.100,28.600,20.400,28.900,28.300,26.300,50.500,37.400,20.400,28.300,10.100,14.100,20.200,18.600,25.300,32.300,20.200,19.400,25.800,59.200,89.900,14.581,42.792,6.341,0.207,0.004,2352.452,2175.573
