ts,monotonic_s,gpu_util_pct,vram_used_mib,power_w,temp_c,sm_clock_mhz,cpu_util_pct,load1,cpu0_pct,cpu1_pct,cpu2_pct,cpu3_pct,cpu4_pct,cpu5_pct,cpu6_pct,cpu7_pct,cpu8_pct,cpu9_pct,cpu10_pct,cpu11_pct,cpu12_pct,cpu13_pct,cpu14_pct,cpu15_pct,cpu16_pct,cpu17_pct,cpu18_pct,cpu19_pct,cpu20_pct,cpu21_pct,cpu22_pct,cpu23_pct,ram_used_gib,ram_available_gib,swap_used_gib,io_read_mb_s,io_write_mb_s,net_rx_kb_s,net_tx_kb_s
2026-06-12T15:10:57+05:30,0.017,,,,,,75.000,20.824,100.000,0.000,0.000,0.000,100.000,100.000,100.000,0.000,0.000,0.000,0.000,0.000,50.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000,0.000,0.000,0.000,0.000,21.650,35.633,4.913,73.373,0.000,0.000,0.000
2026-06-12T15:10:58+05:30,1.003,0.000,19007.000,20.610,53.000,210.000,74.800,20.918,76.500,70.700,76.500,72.400,78.800,93.900,97.000,75.500,71.100,75.300,68.400,61.500,74.200,86.000,63.300,70.400,75.300,68.400,70.800,78.600,77.100,81.800,64.300,62.900,21.565,35.718,4.913,0.129,0.020,9395.812,10574.029
2026-06-12T15:10:59+05:30,2.003,0.000,19007.000,17.080,53.000,210.000,71.100,20.918,86.700,67.300,65.300,64.600,100.000,64.900,71.600,65.000,63.600,76.500,55.200,70.400,97.000,75.500,61.200,67.000,68.800,57.600,79.600,59.800,66.300,73.200,67.000,79.400,21.481,35.801,4.913,0.000,0.008,9479.534,9246.257
2026-06-12T15:11:00+05:30,3.003,0.000,19007.000,16.810,53.000,210.000,73.000,20.918,63.500,75.300,91.800,81.800,100.000,72.000,81.600,68.800,62.500,63.200,65.700,79.400,65.300,76.300,67.700,67.300,68.400,79.600,63.500,82.800,64.300,75.300,64.200,73.000,21.497,35.785,4.913,0.000,0.012,9533.271,9052.831
2026-06-12T15:11:01+05:30,4.004,0.000,19007.000,16.880,53.000,210.000,76.500,20.918,74.000,76.500,85.900,74.200,100.000,59.800,63.600,78.600,69.400,72.200,68.700,74.200,68.000,84.500,80.400,71.100,73.500,97.100,79.800,78.800,83.800,70.500,70.800,80.200,21.497,35.784,4.913,0.000,0.008,9556.946,9312.392
2026-06-12T15:11:02+05:30,5.002,0.000,19007.000,16.850,53.000,210.000,71.500,20.918,71.900,71.000,79.800,82.300,77.800,73.200,73.500,68.000,72.000,69.100,63.300,65.700,66.300,60.400,64.300,85.900,61.500,64.900,83.800,65.300,74.500,74.200,69.700,76.300,21.528,35.753,4.913,0.000,0.305,9622.543,9248.886
2026-06-12T15:11:03+05:30,6.003,0.000,19007.000,16.800,52.000,210.000,71.200,20.925,63.900,63.500,65.300,68.700,75.200,60.800,73.000,63.900,49.000,69.100,69.700,72.200,69.100,69.400,65.700,100.000,78.000,66.700,72.700,90.700,94.900,74.700,60.800,67.700,21.536,35.744,4.913,0.000,0.004,9411.814,9205.927
2026-06-12T15:11:04+05:30,7.003,0.000,19007.000,16.740,52.000,210.000,75.600,20.925,75.300,69.800,75.300,68.400,97.000,66.300,73.200,70.400,73.200,68.400,66.700,80.400,71.000,68.800,76.000,100.000,100.000,63.300,99.000,68.700,70.000,78.100,68.800,69.100,21.589,35.692,4.913,0.000,16.266,9456.937,9056.694
2026-06-12T15:11:05+05:30,8.005,0.000,19007.000,16.810,52.000,210.000,73.900,20.925,78.100,70.800,78.800,70.400,47.400,63.900,80.600,76.300,87.000,65.000,61.000,66.300,80.800,72.400,76.300,89.900,66.700,89.100,70.400,67.300,82.700,77.600,83.800,68.400,21.503,35.781,4.913,0.016,0.016,10079.787,9861.667
2026-06-12T15:11:06+05:30,9.003,0.000,19007.000,16.790,52.000,210.000,66.000,20.925,62.500,66.300,69.100,75.800,65.300,59.800,60.800,90.900,47.400,62.200,76.300,73.500,60.400,66.700,63.900,52.600,67.700,67.700,69.000,77.800,55.200,56.300,70.700,64.600,21.510,35.773,4.913,0.004,0.242,9562.161,9235.982
