ts,monotonic_s,gpu_util_pct,vram_used_mib,power_w,temp_c,sm_clock_mhz,cpu_util_pct,load1,cpu0_pct,cpu1_pct,cpu2_pct,cpu3_pct,cpu4_pct,cpu5_pct,cpu6_pct,cpu7_pct,cpu8_pct,cpu9_pct,cpu10_pct,cpu11_pct,cpu12_pct,cpu13_pct,cpu14_pct,cpu15_pct,cpu16_pct,cpu17_pct,cpu18_pct,cpu19_pct,cpu20_pct,cpu21_pct,cpu22_pct,cpu23_pct,ram_used_gib,ram_available_gib,swap_used_gib,io_read_mb_s,io_write_mb_s,net_rx_kb_s,net_tx_kb_s
2026-06-12T16:31:37+05:30,0.003,,,,,,44.400,12.880,0.000,0.000,0.000,0.000,0.000,100.000,100.000,0.000,0.000,0.000,0.000,0.000,50.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,25.095,32.053,5.228,0.000,0.000,56.108,37.812
2026-06-12T16:31:38+05:30,1.002,0.000,22173.000,209.550,50.000,2070.000,57.700,12.880,60.400,82.700,67.700,64.900,64.000,53.500,59.800,62.600,40.600,59.800,52.100,52.000,47.900,62.500,46.900,80.000,45.800,33.300,45.500,89.000,40.600,46.400,80.000,41.700,25.188,31.958,5.228,0.008,0.586,10425.084,10104.368
2026-06-12T16:31:39+05:30,2.002,0.000,22173.000,166.860,50.000,2070.000,58.000,13.530,53.500,67.700,73.200,85.300,43.900,45.900,48.400,58.900,45.300,58.800,53.100,54.100,73.500,48.500,65.700,58.200,52.000,54.500,46.900,100.000,41.200,49.000,73.200,38.900,25.285,31.860,5.228,0.090,0.262,15058.462,15055.907
2026-06-12T16:31:40+05:30,3.002,0.000,22173.000,136.010,50.000,2070.000,57.600,13.530,56.600,58.300,37.200,56.700,54.600,43.600,78.200,51.500,42.900,45.900,51.000,71.400,44.900,54.200,100.000,54.600,54.600,59.800,44.900,100.000,51.500,49.500,53.600,62.600,25.402,31.744,5.228,0.000,0.008,14202.172,13880.886
2026-06-12T16:31:41+05:30,4.004,0.000,22173.000,117.810,50.000,1890.000,61.700,13.530,50.500,53.600,66.000,62.200,54.600,55.700,54.200,57.300,62.600,69.700,45.400,63.600,56.100,60.000,100.000,61.900,62.200,57.100,60.400,100.000,56.700,66.000,49.500,54.200,25.488,31.657,5.228,0.008,0.004,15253.238,14948.560
2026-06-12T16:31:42+05:30,5.007,0.000,22173.000,109.790,49.000,1890.000,58.800,13.530,72.900,54.600,71.700,55.200,59.200,42.100,49.000,74.000,51.000,39.600,35.100,56.800,57.700,56.600,100.000,46.900,36.800,46.800,56.700,83.700,55.100,95.000,31.600,76.000,25.465,31.680,5.228,0.692,0.008,14724.359,14336.203
2026-06-12T16:31:43+05:30,6.003,0.000,22173.000,101.740,49.000,1890.000,61.500,13.530,54.500,54.600,51.000,68.400,63.500,65.300,59.800,79.800,42.700,37.100,44.800,51.500,63.900,49.000,71.000,62.900,58.200,67.700,50.500,78.800,50.500,100.000,74.500,70.700,25.492,31.652,5.228,0.629,0.074,15492.560,15089.113
2026-06-12T16:31:44+05:30,7.004,0.000,22173.000,101.460,49.000,1890.000,58.400,13.248,61.500,63.300,64.300,51.000,56.700,44.300,43.300,43.900,99.000,29.200,56.100,69.100,67.300,62.200,58.800,52.600,51.500,50.500,41.200,63.900,45.800,89.100,69.400,64.600,25.546,31.597,5.228,0.895,1.098,14983.759,14555.810
2026-06-12T16:31:45+05:30,8.002,0.000,22173.000,101.400,49.000,1890.000,61.000,13.248,62.500,61.500,51.500,64.900,59.200,63.900,86.900,61.200,69.300,45.900,55.700,51.000,49.500,57.700,53.700,56.700,56.300,52.000,48.000,88.000,50.500,59.200,91.900,64.000,25.487,31.656,5.228,0.551,0.324,13216.342,14600.292
2026-06-12T16:31:46+05:30,9.002,0.000,22173.000,101.450,49.000,1890.000,60.100,13.248,52.600,51.000,61.100,50.500,58.800,53.100,86.900,65.700,65.700,66.300,63.300,66.300,69.700,57.100,42.900,55.700,62.900,66.700,44.300,53.100,60.600,49.500,68.400,73.200,25.497,31.646,5.228,0.160,0.008,14808.865,14457.373
2026-06-12T16:31:47+05:30,10.004,0.000,22173.000,101.440,50.000,1890.000,58.000,13.248,56.700,55.200,36.700,59.400,79.600,56.200,42.600,62.600,71.400,100.000,59.800,54.600,43.300,52.600,42.300,48.000,64.600,50.000,93.000,51.000,37.900,54.600,60.200,53.700,25.440,31.702,5.228,0.102,0.004,15432.517,15023.035
2026-06-12T16:31:48+05:30,11.005,0.000,22173.000,101.440,49.000,1890.000,56.100,13.248,48.500,42.900,35.700,53.100,87.900,53.100,62.100,58.600,68.000,46.900,49.500,37.800,57.600,43.800,36.700,41.200,86.000,74.700,82.300,60.800,61.200,56.200,43.700,59.800,25.458,31.684,5.228,0.129,0.340,14918.890,14739.187
