ts,monotonic_s,gpu_util_pct,vram_used_mib,power_w,temp_c,sm_clock_mhz,cpu_util_pct,load1,cpu0_pct,cpu1_pct,cpu2_pct,cpu3_pct,cpu4_pct,cpu5_pct,cpu6_pct,cpu7_pct,cpu8_pct,cpu9_pct,cpu10_pct,cpu11_pct,cpu12_pct,cpu13_pct,cpu14_pct,cpu15_pct,cpu16_pct,cpu17_pct,cpu18_pct,cpu19_pct,cpu20_pct,cpu21_pct,cpu22_pct,cpu23_pct,ram_used_gib,ram_available_gib,swap_used_gib,io_read_mb_s,io_write_mb_s,net_rx_kb_s,net_tx_kb_s
2026-06-13T03:27:17+05:30,0.003,,,,,,72.700,18.012,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000,0.000,0.000,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000,0.000,100.000,0.000,0.000,22.398,34.831,9.717,269.808,0.000,31190.435,31072.661
2026-06-13T03:27:18+05:30,1.003,0.000,9307.000,16.860,48.000,210.000,68.900,18.012,68.400,65.300,66.300,59.200,53.100,50.500,69.700,76.800,76.500,59.400,58.300,74.200,71.900,62.200,71.000,53.600,61.200,100.000,79.800,78.800,93.000,73.200,58.500,71.900,22.918,34.311,9.707,153.809,0.016,12549.848,11366.627
2026-06-13T03:27:19+05:30,2.003,0.000,9307.000,16.950,48.000,210.000,64.900,18.012,65.300,66.300,73.200,80.600,62.100,57.700,55.700,70.700,52.500,50.500,56.200,55.200,61.000,70.400,62.900,71.100,61.500,100.000,67.300,80.200,69.400,46.400,57.600,58.200,23.272,33.957,9.704,12.801,1.480,10775.924,9848.834
2026-06-13T03:27:20+05:30,3.003,0.000,9307.000,16.910,48.000,210.000,60.900,18.012,56.100,57.700,64.300,81.800,69.700,78.800,61.500,50.500,50.000,57.100,55.700,46.900,58.300,64.600,58.200,39.600,57.900,60.200,63.900,100.000,64.600,53.600,45.300,60.200,23.662,33.567,9.703,2.579,0.211,10936.095,9758.953
2026-06-13T03:27:21+05:30,4.003,0.000,9307.000,16.750,48.000,210.000,57.600,18.012,50.500,57.700,53.100,60.200,83.200,58.000,86.700,58.800,60.800,42.300,40.000,50.500,47.400,67.300,60.200,70.000,25.800,43.900,57.700,66.000,89.000,51.000,50.500,49.500,24.067,33.163,9.702,0.941,0.000,10573.915,9999.174
2026-06-13T03:27:22+05:30,5.003,0.000,9307.000,16.820,48.000,210.000,61.400,17.771,60.400,43.400,69.400,57.100,61.500,92.100,70.100,76.500,60.800,49.500,57.300,50.000,47.900,45.400,43.200,49.000,79.000,44.900,47.900,67.300,100.000,61.900,67.700,68.400,24.203,33.026,9.702,0.875,0.156,10252.537,13784.518
2026-06-13T03:27:23+05:30,6.003,0.000,9307.000,16.850,48.000,210.000,61.100,17.771,41.200,48.500,43.300,67.000,66.300,91.900,90.200,48.500,59.800,43.300,51.500,75.300,61.900,47.900,59.200,65.000,71.400,77.600,50.500,52.600,99.000,52.100,57.600,39.200,24.260,32.969,9.702,0.914,0.000,10033.359,9350.407
2026-06-13T03:27:24+05:30,7.002,0.000,9307.000,16.770,48.000,210.000,62.400,17.771,60.200,62.900,64.900,41.200,73.500,80.800,84.700,50.500,55.100,51.000,48.900,100.000,62.600,64.600,70.100,44.200,39.800,58.600,54.500,62.600,84.800,59.200,56.200,65.300,24.321,32.908,9.701,1.817,0.008,9671.788,8833.890
2026-06-13T03:27:25+05:30,8.003,0.000,9307.000,16.740,48.000,210.000,60.600,17.771,54.100,65.300,53.600,46.900,99.000,55.700,65.700,64.900,73.500,46.500,53.100,62.000,53.500,49.500,47.300,50.000,48.500,64.600,66.000,63.200,77.300,64.300,88.800,38.100,24.401,32.832,9.701,1.516,0.199,10449.320,9682.108
2026-06-13T03:27:26+05:30,9.003,0.000,9307.000,16.670,48.000,210.000,58.300,17.771,63.900,53.100,68.400,65.600,75.000,63.900,29.500,48.000,50.500,70.100,41.900,42.300,60.200,46.900,57.600,53.700,49.000,60.200,79.800,41.700,64.600,75.800,100.000,32.600,24.490,32.744,9.680,22.675,0.008,12742.820,11900.467
2026-06-13T03:27:27+05:30,10.003,0.000,9307.000,16.610,48.000,210.000,57.700,17.308,62.900,64.600,61.200,68.000,63.900,61.200,41.800,61.200,58.300,32.300,41.700,30.500,42.900,69.400,49.000,63.900,54.600,59.400,70.000,69.700,58.300,49.500,100.000,48.500,24.475,32.758,9.679,2.406,1.098,9816.796,9244.548
2026-06-13T03:27:28+05:30,11.003,0.000,9307.000,16.670,48.000,210.000,58.600,17.308,61.000,55.100,47.900,68.700,60.200,65.700,50.500,71.400,71.100,46.400,41.700,66.700,50.000,44.900,54.100,57.900,58.900,61.200,50.500,55.700,46.400,42.700,96.000,82.000,24.468,32.765,9.676,11.449,0.008,9361.997,9245.263
2026-06-13T03:27:29+05:30,12.002,0.000,9307.000,16.650,48.000,210.000,59.400,17.308,56.800,61.200,58.300,60.200,58.800,66.300,41.100,46.500,66.700,88.000,63.300,74.500,60.200,61.100,58.800,70.100,57.000,64.300,90.900,53.500,40.400,44.300,38.000,44.200,24.398,32.835,9.675,4.359,1.031,9969.693,9275.273
2026-06-13T03:27:30+05:30,13.003,0.000,9307.000,16.510,48.000,210.000,54.700,17.308,51.000,60.200,50.500,45.400,41.100,58.900,72.400,42.300,56.100,73.500,43.300,59.800,57.000,39.000,56.200,49.000,86.900,45.400,52.500,43.300,50.000,76.000,45.400,57.100,24.265,32.968,9.675,1.852,0.313,9828.568,9094.649
2026-06-13T03:27:31+05:30,14.003,0.000,9307.000,16.390,48.000,210.000,59.600,17.308,49.500,55.200,57.900,45.400,39.400,46.900,55.600,64.300,66.000,55.100,60.400,66.700,76.300,64.600,67.000,43.900,93.900,47.400,58.300,64.900,49.500,100.000,65.700,35.700,24.336,32.896,9.674,2.539,0.008,10568.511,9682.847
2026-06-13T03:27:32+05:30,15.003,0.000,9307.000,16.390,48.000,210.000,57.000,17.283,38.400,50.500,46.500,55.100,64.900,43.300,65.600,61.300,62.200,59.400,70.700,76.800,46.400,50.500,43.400,37.100,44.900,59.000,59.800,65.300,75.500,67.700,81.000,40.600,24.406,32.827,9.668,10.328,0.008,10816.751,9769.634
2026-06-13T03:27:33+05:30,16.002,0.000,9307.000,16.470,48.000,210.000,54.000,17.283,42.700,53.100,52.100,42.300,45.900,81.800,58.800,55.100,55.600,58.000,41.700,49.000,45.900,50.500,50.500,31.600,70.700,52.500,65.300,48.900,52.000,40.800,53.500,96.000,24.542,32.691,9.668,1.414,0.000,10582.517,9648.796
2026-06-13T03:27:34+05:30,17.003,0.000,9307.000,16.430,48.000,210.000,55.300,17.283,47.900,54.600,58.600,60.800,57.100,49.000,60.200,58.000,39.800,66.300,40.200,62.900,54.200,48.500,57.100,67.300,50.000,83.000,62.600,42.900,50.500,38.400,35.400,77.800,24.472,32.761,9.668,1.176,0.020,12652.397,11844.651
2026-06-13T03:27:35+05:30,18.003,0.000,9307.000,16.340,48.000,210.000,56.700,17.283,58.300,60.200,58.800,60.600,56.400,28.600,58.000,66.000,57.000,49.500,53.500,61.500,61.900,53.500,64.200,34.700,86.000,36.500,39.200,50.500,75.800,70.100,45.900,79.200,24.422,32.810,9.668,1.387,0.160,10833.049,9786.357
2026-06-13T03:27:36+05:30,19.003,0.000,9307.000,16.430,48.000,210.000,67.100,17.283,63.200,58.600,68.700,58.200,86.700,50.000,67.000,73.700,80.600,52.100,55.200,52.600,62.900,58.800,62.600,54.700,100.000,49.500,73.000,72.600,69.500,100.000,54.100,81.000,24.377,32.856,9.668,1.191,0.008,9704.059,8773.535
2026-06-13T03:27:37+05:30,20.003,0.000,9307.000,16.430,48.000,210.000,51.700,17.020,52.100,52.100,58.600,49.500,49.500,43.800,40.600,45.900,41.800,45.800,38.500,81.600,43.700,66.300,52.100,42.900,100.000,34.400,47.400,45.500,48.000,75.000,33.700,48.500,24.279,32.953,9.668,1.098,0.000,12766.730,12024.052
