ts,counter_name,generation_tokens_total,decode_tokens_delta,decode_tok_s,telemetry_ts,gpu_util_pct,vram_used_mib,power_w,temp_c,cpu_util_pct,ram_used_gib
2026-06-12T20:23:53+05:30,vllm:generation_tokens_total,0,0,0.000,2026-06-12T20:23:53+05:30,0.000,22173.000,16.370,52.000,50.700,30.413
2026-06-12T20:23:54+05:30,vllm:generation_tokens_total,0,0,0.000,2026-06-12T20:23:54+05:30,0.000,22173.000,16.280,52.000,56.600,30.427
2026-06-12T20:23:55+05:30,vllm:generation_tokens_total,0,0,0.000,2026-06-12T20:23:55+05:30,0.000,22173.000,16.220,52.000,55.900,30.422
2026-06-12T20:23:56+05:30,vllm:generation_tokens_total,0,0,0.000,2026-06-12T20:23:56+05:30,0.000,22173.000,16.290,52.000,52.200,30.454
2026-06-12T20:23:57+05:30,vllm:generation_tokens_total,0,0,0.000,2026-06-12T20:23:57+05:30,0.000,22173.000,16.360,52.000,48.400,30.457
2026-06-12T20:23:58+05:30,vllm:generation_tokens_total,0,0,0.000,2026-06-12T20:23:58+05:30,0.000,22173.000,16.340,51.000,47.900,30.464
2026-06-12T20:23:59+05:30,vllm:generation_tokens_total,0,0,0.000,2026-06-12T20:23:59+05:30,0.000,22173.000,16.330,51.000,48.500,30.480
2026-06-12T20:24:00+05:30,vllm:generation_tokens_total,0,0,0.000,2026-06-12T20:24:00+05:30,0.000,22173.000,16.300,51.000,46.600,30.473
2026-06-12T20:24:01+05:30,vllm:generation_tokens_total,0,0,0.000,2026-06-12T20:24:01+05:30,0.000,22173.000,16.230,51.000,45.500,30.464
2026-06-12T20:24:02+05:30,vllm:generation_tokens_total,0,0,0.000,2026-06-12T20:24:02+05:30,0.000,22173.000,16.200,51.000,44.600,30.439
2026-06-12T20:24:03+05:30,vllm:generation_tokens_total,0,0,0.000,2026-06-12T20:24:03+05:30,0.000,22173.000,16.200,51.000,49.200,30.429
2026-06-12T20:24:04+05:30,vllm:generation_tokens_total,0,0,0.000,2026-06-12T20:24:04+05:30,0.000,22173.000,16.200,51.000,58.700,30.432
2026-06-12T20:24:05+05:30,vllm:generation_tokens_total,0,0,0.000,2026-06-12T20:24:05+05:30,0.000,22173.000,16.200,51.000,53.100,30.515
2026-06-12T20:24:06+05:30,vllm:generation_tokens_total,0,0,0.000,2026-06-12T20:24:06+05:30,0.000,22173.000,16.160,51.000,55.000,29.864
2026-06-12T20:24:07+05:30,vllm:generation_tokens_total,0,0,0.000,2026-06-12T20:24:07+05:30,0.000,22173.000,16.130,51.000,51.400,29.836
2026-06-12T20:24:08+05:30,vllm:generation_tokens_total,0,0,0.000,2026-06-12T20:24:08+05:30,0.000,22173.000,16.180,50.000,50.300,29.260
