ts,generation_tokens_total,decode_tokens_delta,decode_tok_s,gpu_util_pct,vram_used_mib,power_w,temp_c,sm_clock_mhz,cpu_util_pct,ram_used_gib
2026-06-12T21:54:55+05:30,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,75.000,25.997
2026-06-12T21:54:56+05:30,0.000,0.000,0.000,0.000,22285.000,104.450,56.000,1890.000,60.200,26.124
2026-06-12T21:54:57+05:30,10.000,10.000,10.000,0.000,22285.000,104.880,56.000,1890.000,58.500,26.171
2026-06-12T21:54:58+05:30,36.000,26.000,26.000,100.000,22285.000,349.630,63.000,2040.000,61.900,26.107
2026-06-12T21:54:59+05:30,78.000,42.000,42.000,100.000,22285.000,416.770,64.000,2040.000,62.700,26.112
2026-06-12T21:55:00+05:30,135.000,57.000,57.001,100.000,22285.000,422.520,65.000,2040.000,59.600,26.087
2026-06-12T21:55:01+05:30,205.000,70.000,69.999,100.000,22285.000,425.670,66.000,2040.000,58.700,26.019
2026-06-12T21:55:02+05:30,291.000,86.000,85.999,100.000,22285.000,429.080,66.000,2040.000,58.000,26.102
2026-06-12T21:55:03+05:30,1419.000,1128.000,1127.996,100.000,22285.000,434.650,67.000,2040.000,58.700,26.080
2026-06-12T21:55:04+05:30,2643.000,1224.000,1223.997,100.000,22285.000,424.530,66.000,2040.000,58.700,26.027
2026-06-12T21:55:05+05:30,3844.000,1201.000,1201.036,100.000,22285.000,412.270,66.000,2040.000,55.500,26.142
2026-06-12T21:55:06+05:30,5040.000,1196.000,1195.976,100.000,22285.000,411.760,67.000,2040.000,56.500,26.087
2026-06-12T21:55:07+05:30,6163.000,1123.000,1122.995,100.000,22285.000,412.450,67.000,2040.000,61.800,26.064
2026-06-12T21:55:08+05:30,7263.000,1100.000,1099.781,100.000,22285.000,412.220,67.000,2040.000,70.000,26.060
2026-06-12T21:55:09+05:30,8363.000,1100.000,1100.204,100.000,22285.000,409.020,67.000,2040.000,64.300,26.078
2026-06-12T21:55:10+05:30,9476.000,1113.000,1112.987,100.000,22285.000,416.780,68.000,2040.000,62.400,26.046
2026-06-12T21:55:11+05:30,10540.000,1064.000,1064.008,100.000,22285.000,427.170,68.000,2040.000,59.900,26.024
2026-06-12T21:55:12+05:30,11138.000,598.000,598.006,100.000,22285.000,430.210,68.000,2040.000,60.400,26.152
2026-06-12T21:55:13+05:30,11210.000,72.000,72.004,100.000,22285.000,429.060,69.000,2040.000,61.300,26.104
2026-06-12T21:55:14+05:30,11282.000,72.000,71.943,100.000,22285.000,444.840,70.000,2040.000,61.300,26.127
2026-06-12T21:55:15+05:30,11353.000,71.000,71.054,100.000,22285.000,443.930,70.000,2040.000,62.900,26.165
2026-06-12T21:55:16+05:30,11424.000,71.000,71.001,100.000,22285.000,442.350,70.000,2040.000,57.800,26.038
2026-06-12T21:55:17+05:30,11497.000,73.000,72.997,100.000,22285.000,443.090,71.000,2040.000,59.100,26.047
2026-06-12T21:55:18+05:30,11560.000,63.000,63.001,100.000,22285.000,445.120,71.000,2040.000,64.800,26.019
2026-06-12T21:55:19+05:30,12495.000,935.000,934.992,100.000,22285.000,447.150,71.000,2040.000,59.000,26.108
2026-06-12T21:55:20+05:30,13308.000,813.000,812.978,100.000,22285.000,438.540,70.000,2040.000,62.800,26.149
2026-06-12T21:55:21+05:30,14492.000,1184.000,1183.442,100.000,22285.000,427.650,71.000,2040.000,61.100,26.088
2026-06-12T21:55:22+05:30,15688.000,1196.000,1196.594,100.000,22285.000,421.670,70.000,2040.000,60.800,26.129
2026-06-12T21:55:23+05:30,16501.000,813.000,813.004,100.000,22285.000,420.220,70.000,2040.000,64.400,26.094
2026-06-12T21:55:24+05:30,17623.000,1122.000,1122.024,100.000,22285.000,428.720,71.000,2025.000,60.500,26.174
2026-06-12T21:55:25+05:30,18458.000,835.000,834.970,100.000,22285.000,415.640,70.000,2025.000,65.500,26.085
2026-06-12T21:55:26+05:30,19551.000,1093.000,1093.054,100.000,22285.000,418.230,71.000,2025.000,54.800,26.120
2026-06-12T21:55:27+05:30,20432.000,881.000,880.980,100.000,22285.000,423.270,71.000,2025.000,55.000,26.113
2026-06-12T21:55:28+05:30,21524.000,1092.000,1092.000,100.000,22285.000,429.210,71.000,2025.000,57.700,26.007
2026-06-12T21:55:29+05:30,22469.000,945.000,944.834,100.000,22285.000,436.600,71.000,2025.000,55.600,26.053
2026-06-12T21:55:30+05:30,22561.000,92.000,92.013,100.000,22285.000,432.790,71.000,2025.000,58.600,26.143
2026-06-12T21:55:31+05:30,22635.000,74.000,74.003,100.000,22285.000,441.230,73.000,2025.000,49.900,26.087
2026-06-12T21:55:32+05:30,22711.000,76.000,75.979,100.000,22285.000,443.980,73.000,2025.000,45.100,26.098
2026-06-12T21:55:33+05:30,22768.000,57.000,57.016,100.000,22285.000,445.350,73.000,2025.000,67.400,26.154
2026-06-12T21:55:34+05:30,22841.000,73.000,73.000,100.000,22285.000,444.480,73.000,2025.000,54.200,26.192
2026-06-12T21:55:35+05:30,22919.000,78.000,77.999,100.000,22285.000,443.360,73.000,2025.000,54.400,26.185
2026-06-12T21:55:36+05:30,23492.000,573.000,573.010,100.000,22285.000,444.570,73.000,2025.000,52.300,26.126
2026-06-12T21:55:37+05:30,24716.000,1224.000,1223.953,100.000,22285.000,446.680,73.000,2025.000,49.900,26.173
2026-06-12T21:55:38+05:30,25937.000,1221.000,1221.005,100.000,22285.000,422.000,72.000,2025.000,57.900,26.160
2026-06-12T21:55:39+05:30,27110.000,1173.000,1172.962,100.000,22285.000,420.290,72.000,2025.000,58.700,26.141
2026-06-12T21:55:40+05:30,28275.000,1165.000,1165.053,100.000,22285.000,420.630,72.000,2025.000,64.600,26.139
2026-06-12T21:55:41+05:30,29397.000,1122.000,1121.968,100.000,22285.000,420.050,72.000,2025.000,60.900,26.149
2026-06-12T21:55:42+05:30,30494.000,1097.000,1097.026,100.000,22285.000,418.870,72.000,2025.000,62.900,26.156
2026-06-12T21:55:43+05:30,31417.000,923.000,922.954,100.000,22285.000,417.660,73.000,2025.000,68.100,26.116
2026-06-12T21:55:44+05:30,32530.000,1113.000,1113.058,100.000,22285.000,436.650,73.000,2025.000,55.300,26.122
2026-06-12T21:55:45+05:30,33556.000,1026.000,1025.967,100.000,22285.000,435.720,73.000,2025.000,60.600,26.120
2026-06-12T21:55:46+05:30,33850.000,294.000,294.009,100.000,22285.000,437.320,73.000,2025.000,59.700,26.083
2026-06-12T21:55:47+05:30,33904.000,54.000,54.000,100.000,22285.000,442.340,74.000,2025.000,63.700,26.083
2026-06-12T21:55:48+05:30,33976.000,72.000,72.000,100.000,22285.000,448.520,74.000,2025.000,64.400,26.071
2026-06-12T21:55:49+05:30,34049.000,73.000,72.998,100.000,22285.000,448.570,74.000,2025.000,60.500,26.050
2026-06-12T21:55:50+05:30,34121.000,72.000,72.000,100.000,22285.000,448.200,75.000,2025.000,64.000,26.005
2026-06-12T21:55:51+05:30,34196.000,75.000,75.002,100.000,22285.000,447.610,75.000,2025.000,60.100,25.985
2026-06-12T21:55:52+05:30,34334.000,138.000,137.998,100.000,22285.000,447.630,75.000,2025.000,63.000,26.009
2026-06-12T21:55:53+05:30,35582.000,1248.000,1247.986,100.000,22285.000,449.160,75.000,2010.000,61.900,26.002
2026-06-12T21:55:54+05:30,36475.000,893.000,893.030,100.000,22285.000,433.670,74.000,2025.000,57.700,25.997
2026-06-12T21:55:55+05:30,37491.000,1016.000,1016.008,100.000,22285.000,425.740,74.000,2025.000,56.700,26.034
2026-06-12T21:55:56+05:30,38687.000,1196.000,1195.982,100.000,22285.000,438.150,74.000,2025.000,52.300,26.052
2026-06-12T21:55:57+05:30,39813.000,1126.000,1126.029,100.000,22285.000,424.960,74.000,2025.000,60.100,26.069
2026-06-12T21:55:58+05:30,40935.000,1122.000,1121.979,100.000,22285.000,423.630,74.000,2025.000,52.600,26.093
2026-06-12T21:55:59+05:30,41692.000,757.000,756.975,100.000,22285.000,422.350,74.000,2025.000,54.400,26.099
2026-06-12T21:56:00+05:30,42805.000,1113.000,1113.037,100.000,22285.000,430.450,74.000,2025.000,64.700,26.118
2026-06-12T21:56:01+05:30,43665.000,860.000,859.993,100.000,22285.000,432.760,74.000,2025.000,57.600,26.096
2026-06-12T21:56:02+05:30,44727.000,1062.000,1062.003,100.000,22285.000,440.820,74.000,2025.000,58.000,26.076
2026-06-12T21:56:03+05:30,45163.000,436.000,436.005,100.000,22285.000,441.380,74.000,2025.000,63.800,26.098
2026-06-12T21:56:04+05:30,45235.000,72.000,72.000,100.000,22285.000,444.620,75.000,2025.000,61.800,26.133
2026-06-12T21:56:05+05:30,45308.000,73.000,72.999,100.000,22285.000,448.480,75.000,2025.000,67.100,26.117
2026-06-12T21:56:06+05:30,45384.000,76.000,76.004,100.000,22285.000,449.450,75.000,2010.000,56.100,26.095
2026-06-12T21:56:07+05:30,45440.000,56.000,55.997,100.000,22285.000,449.430,76.000,2010.000,57.800,26.085
2026-06-12T21:56:08+05:30,45513.000,73.000,73.000,100.000,22285.000,448.870,76.000,2025.000,60.500,26.108
2026-06-12T21:56:09+05:30,45599.000,86.000,86.001,100.000,22285.000,449.180,76.000,2010.000,56.300,26.124
2026-06-12T21:56:10+05:30,46751.000,1152.000,1152.002,100.000,22285.000,449.160,76.000,2010.000,65.100,26.135
2026-06-12T21:56:11+05:30,47970.000,1219.000,1219.004,100.000,22285.000,438.580,75.000,2025.000,54.400,26.137
2026-06-12T21:56:12+05:30,49143.000,1173.000,1173.007,100.000,22285.000,428.290,75.000,2025.000,54.900,26.128
2026-06-12T21:56:13+05:30,50309.000,1166.000,1165.998,100.000,22285.000,426.320,74.000,2025.000,60.400,26.128
2026-06-12T21:56:14+05:30,51254.000,945.000,944.984,100.000,22285.000,424.660,74.000,2025.000,55.400,26.127
2026-06-12T21:56:15+05:30,52354.000,1100.000,1099.993,100.000,22285.000,426.240,74.000,2025.000,61.800,26.104
2026-06-12T21:56:16+05:30,53446.000,1092.000,1091.979,100.000,22285.000,430.270,74.000,2025.000,56.000,26.154
2026-06-12T21:56:17+05:30,54538.000,1092.000,1092.003,100.000,22285.000,425.410,75.000,2025.000,56.800,26.156
2026-06-12T21:56:18+05:30,55614.000,1076.000,1076.004,100.000,22285.000,438.720,75.000,2025.000,57.400,26.151
